cz,variable,importance
Global,Tair_Trend,0.124
Global,PRE_Trend,0.108
Global,UHI_Trend,0.133
Global,UG_Trend,0.064
Global,UI_Trend,0.375
Global,POP_Trend,0.196
Tropical,Tair_Trend,0.177
Tropical,PRE_Trend,0.138
Tropical,UHI_Trend,0.07
Tropical,UG_Trend,0.123
Tropical,UI_Trend,0.269
Tropical,POP_Trend,0.223
Temperate,Tair_Trend,0.158
Temperate,PRE_Trend,0.051
Temperate,UHI_Trend,0.187
Temperate,UG_Trend,0.105
Temperate,UI_Trend,0.276
Temperate,POP_Trend,0.223
Cold,Tair_Trend,0.219
Cold,PRE_Trend,0.169
Cold,UHI_Trend,0.111
Cold,UG_Trend,0.268
Cold,UI_Trend,0.128
Cold,POP_Trend,0.105
Arid,Tair_Trend,0.235
Arid,PRE_Trend,0.098
Arid,UHI_Trend,0.137
Arid,UG_Trend,0.149
Arid,UI_Trend,0.166
Arid,POP_Trend,0.215
